neighbourhood,Number_of_Listings,Number_of_Hosts,Number_of_Neighbours,Average_Price,Average_Number_of_Nights,Average_Number_of_Reviews,Average_number_of_Reviews_per_Month,AVerage_Host_List_Count,Average_Availability
Dongan Hills,7,5,1,79.43,2,22,2.07,1,157
Douglaston,8,6,1,82.75,2,20,1.21,2,205
Downtown Brooklyn,57,54,1,152.28,6,20,0.95,3,44
DUMBO,24,22,1,178.38,4,57,1.38,1,107
Dyker Heights,11,10,1,95.09,2,37,1.72,1,157
East Elmhurst,171,102,1,81.22,1,88,4.82,2,170
East Flatbush,428,287,1,106.59,5,29,1.7,3,177
East Harlem,944,751,1,132.75,4,38,1.67,2,100
East Morrisania,10,5,1,85,1,48,2.62,2,193
East New York,192,113,1,87.19,3,35,1.99,3,182
East Village,1490,1324,1,174.79,5,29,1.12,1,74
Eastchester,10,1,1,124.9,1,15,0.46,13,352
Edenwald,9,7,1,84.56,2,22,1.88,1,207
Edgemere,8,7,1,94.63,9,14,1.31,11,294
Elmhurst,194,123,1,80.14,5,28,1.64,6,140
Eltingville,2,2,1,63,3,114,2.47,1,274
Emerson Hill,3,3,1,69,1,18,1.87,1,86
Far Rockaway,22,15,1,72.5,4,17,1.32,9,153
Fieldston,12,11,1,75.08,3,12,0.93,1,143
Financial District,509,275,1,218.75,7,13,1.48,118,191
Flatbush,497,416,1,94.57,4,25,1.11,1,102
Flatiron District,58,56,1,291.48,5,24,1.25,1,133
Flatlands,66,51,1,97.94,2,27,1.61,1,210
Flushing,363,173,1,83.84,3,40,2.26,4,168
Fordham,47,35,1,62.06,4,20,1.54,2,138
Forest Hills,120,84,1,106.17,4,26,1.27,2,139
Fort Greene,401,343,1,153.89,6,26,1.02,1,89
Fort Hamilton,45,38,1,95.13,4,16,0.84,1,147
Fresh Meadows,30,18,1,99.47,1,34,2.82,2,135
Glendale,46,37,1,91.13,3,31,2.14,1,164
